statement_id,transaction_id,session_id,account,user,host,database,statement,statement_tag,statement_fingerprint,node_uuid,node_type,request_at,response_at,duration,status,err_code,error,exec_plan,rows_read,bytes_scan,stats,statement_type,query_type,role_id,sql_source_type,aggr_count,result_count
f89f3206-5d50-11ee-8c9f-46847fd5eb9e,59f91d8f-ec08-4836-abbd-ca55249356bb,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.501339,2023-09-28 00:14:44.501393,53458,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f89f3206-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,1]",Show Warnings,Other,2,external_sql,0,0
f89a0114-5d50-11ee-8c9f-46847fd5eb9e,5de2b2db-ff19-455a-a7bd-17d63d8caad6,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET SQL_SELECT_LIMIT=501,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.467326,2023-09-28 00:14:44.467399,72834,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f89a0114-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,0]",Set Var,Other,2,external_sql,0,0
f899f49e-5d50-11ee-8c9f-46847fd5eb9e,e07b4a48-5f4d-4418-8788-04efedb39b79,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET net_write_timeout=600,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.467003,2023-09-28 00:14:44.467176,173166,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f899f49e-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,0]",Set Var,Other,2,external_sql,0,0
f899b3a8-5d50-11ee-8c9f-46847fd5eb9e,be75de39-0ca6-477d-9b31-649dbc522d32,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.465339,2023-09-28 00:14:44.465380,40625,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f899b3a8-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,1]",Show Warnings,Other,2,external_sql,0,0
f899819e-5d50-11ee-8c9f-46847fd5eb9e,41b2ce1f-1dce-464f-8b4f-7ab5a53d0e22,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.464060,2023-09-28 00:14:44.464100,39958,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f899819e-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,1]",Show Warnings,Other,2,external_sql,0,0
f8991c18-5d50-11ee-8c9f-46847fd5eb9e,cd1a6aeb-1828-46f5-86fa-72bcb41a965c,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET SQL_SELECT_LIMIT=DEFAULT,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.461460,2023-09-28 00:14:44.461612,152083,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f8991c18-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,0]",Set Var,Other,2,external_sql,0,0
f898eee6-5d50-11ee-8c9f-46847fd5eb9e,d3673fc9-838a-42cd-8f73-218ad8a17552,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.460305,2023-09-28 00:14:44.460341,36042,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f898eee6-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,0]",Show Warnings,Other,2,external_sql,0,0
f898ad0a-5d50-11ee-8c9f-46847fd5eb9e,31695d26-9a17-4747-9f25-db2788bb4da7,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ set session transaction read write,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.458618,2023-09-28 00:14:44.458638,19750,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f898ad0a-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,1]",Set Transaction,TCL,2,external_sql,0,0
f85313da-5d50-11ee-8c9f-46847fd5eb9e,c1cf1b58-562b-4ff5-af0a-4eb1e043a67e,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,SHOW WARNINGS,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:44.002479,2023-09-28 00:14:44.002551,72125,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f85313da-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,148,0]",Show Warnings,Other,2,external_sql,0,0
f84963e4-5d50-11ee-8c9f-46847fd5eb9e,eca10e82-5ff3-4fbc-9338-fc1d030fd76e,e1bb4d54-5d50-11ee-8c9c-46847fd5eb9e,test,admin,127.0.0.1:51274,test,/* ApplicationName=GoLand 2023.1 */ SET SQL_SELECT_LIMIT=501,,,7c4dccb4-4d3c-41f8-b482-5251dc7a41bf,ALL,2023-09-28 00:14:43.939012,2023-09-28 00:14:43.939119,107375,Success,0,,"{""code"":200,""message"":""NO ExecPlan Serialize function"",""steps"":null,""success"":false,""uuid"":""f84963e4-5d50-11ee-8c9f-46847fd5eb9e""}",0,0,"[3,0,0,0,0,12,0]",Set Var,Other,2,external_sql,0,0
